Epoch,AlexNet,LeNet,TensorFlow
0,1.749215018,1.572359099,1.497901719
1,1.501203654,1.285367047,1.125300826
2,1.420924111,1.157310395,0.959665423
3,1.364583218,1.075438289,0.859554474
4,1.324194829,1.011599996,0.786522467
5,1.287401459,0.962409716,0.733300024
6,1.250523698,0.921608911,0.680922066
7,1.254754693,0.878664746,0.646716723
8,1.19073461,0.844799762,0.605602297
9,1.172573653,0.812358087,0.571794891
10,1.156591124,0.787229359,0.544446085
11,1.129429467,0.757233643,0.519167303
12,1.109043495,0.73429208,0.48642138
13,1.084719533,0.71365361,0.470919668
14,1.078541654,0.691692889,0.446417059
